Depth [m]	U [m/s]	V [m/s]	T [°C]	S [permil]	Tr [TU]	18O [permil]	39Ar [pm]	He [ccSTP/g]	Ne [ccSTP/g]	Ar [ccSTP/g]	Kr [ccSTP/g]	k [J/kg]	eps [W/kg]
0	0	0	23.853	1.078	1.00E-30	111.54	1.00000	7.190E-08	1.548E-07	8.334E-07	5.372E-08	3.00E-06	5.00E-10
-1	0	0	23.759	1.078	1.00E-30	111.54	1.00000	7.190E-08	1.546E-07	8.323E-07	5.365E-08	3.00E-06	5.00E-10
-2	0	0	23.658	1.084	1.00E-30	111.54	1.00000	7.190E-08	1.544E-07	8.312E-07	5.358E-08	3.00E-06	5.00E-10
-3	0	0	23.572	1.085	1.00E-30	111.54	1.00000	7.190E-08	1.542E-07	8.302E-07	5.351E-08	3.00E-06	5.00E-10
-4	0	0	23.519	1.086	1.00E-30	111.54	1.00000	7.190E-08	1.540E-07	8.291E-07	5.344E-08	3.00E-06	5.00E-10
-5	0	0	23.486	1.087	1.00E-30	111.54	1.00000	7.190E-08	1.538E-07	8.281E-07	5.337E-08	3.00E-06	5.00E-10
-6	0	0	23.451	1.087	1.00E-30	111.54	1.00000	7.190E-08	1.536E-07	8.270E-07	5.330E-08	3.00E-06	5.00E-10
-7	0	0	23.428	1.088	1.00E-30	111.54	1.00000	7.190E-08	1.534E-07	8.260E-07	5.323E-08	3.00E-06	5.00E-10
-8	0	0	23.412	1.087	1.00E-30	111.54	1.00000	7.190E-08	1.532E-07	8.249E-07	5.317E-08	3.00E-06	5.00E-10
-9	0	0	23.396	1.087	1.00E-30	111.54	1.00000	7.190E-08	1.530E-07	8.238E-07	5.310E-08	3.00E-06	5.00E-10
-10	0	0	23.387	1.089	1.00E-30	111.54	0.99662	7.190E-08	1.528E-07	8.228E-07	5.303E-08	3.00E-06	5.00E-10
-11	0	0	23.375	1.089	1.00E-30	111.54	0.99323	7.190E-08	1.526E-07	8.217E-07	5.296E-08	3.00E-06	5.00E-10
-12	0	0	23.339	1.089	1.00E-30	111.54	0.98985	7.190E-08	1.524E-07	8.207E-07	5.289E-08	3.00E-06	5.00E-10
-13	0	0	23.305	1.090	1.00E-30	111.54	0.98646	7.190E-08	1.521E-07	8.196E-07	5.282E-08	3.00E-06	5.00E-10
-14	0	0	23.263	1.089	1.00E-30	111.54	0.98308	7.190E-08	1.519E-07	8.185E-07	5.275E-08	3.00E-06	5.00E-10
-15	0	0	23.223	1.090	1.00E-30	111.54	0.97969	7.190E-08	1.517E-07	8.175E-07	5.268E-08	3.00E-06	5.00E-10
-16	0	0	23.191	1.091	1.00E-30	111.54	0.97631	7.190E-08	1.515E-07	8.164E-07	5.262E-08	3.00E-06	5.00E-10
-17	0	0	23.155	1.091	1.00E-30	111.54	0.97292	7.190E-08	1.513E-07	8.154E-07	5.255E-08	3.00E-06	5.00E-10
-18	0	0	23.125	1.090	1.00E-30	111.54	0.96954	7.190E-08	1.511E-07	8.143E-07	5.248E-08	3.00E-06	5.00E-10
-19	0	0	23.119	1.090	1.00E-30	111.54	0.96615	7.190E-08	1.509E-07	8.133E-07	5.241E-08	3.00E-06	5.00E-10
-20	0	0	23.115	1.091	1.00E-30	111.54	0.96277	7.190E-08	1.507E-07	8.122E-07	5.234E-08	3.00E-06	5.00E-10
-21	0	0	23.113	1.092	1.00E-30	111.54	0.95938	7.190E-08	1.505E-07	8.111E-07	5.227E-08	3.00E-06	5.00E-10
-22	0	0	23.111	1.093	1.00E-30	111.54	0.95600	7.190E-08	1.503E-07	8.101E-07	5.220E-08	3.00E-06	5.00E-10
-23	0	0	23.109	1.096	1.00E-30	111.54	0.95262	7.190E-08	1.501E-07	8.090E-07	5.213E-08	3.00E-06	5.00E-10
-24	0	0	23.109	1.097	1.00E-30	111.54	0.94923	7.190E-08	1.499E-07	8.080E-07	5.207E-08	3.00E-06	5.00E-10
-25	0	0	23.109	1.101	1.00E-30	111.54	0.94585	7.190E-08	1.497E-07	8.069E-07	5.200E-08	3.00E-06	5.00E-10
-26	0	0	23.109	1.103	1.00E-30	111.54	0.94246	7.190E-08	1.495E-07	8.059E-07	5.193E-08	3.00E-06	5.00E-10
